software_name,cpe_uri,cpe_vendor,cpe_product,match_confidence,status,nvd_url,last_verified_date,deprecated_at,deprecated_reason,product_id,cpe_coverage_flag,data_quality_notes
Cryptographic library NesLib 6.11.0 on ST31R480 A01 référence NesLib version 6.11,,,,,not_found,,,,,,,
Cryptographic library NESLIB 6.11.3 on ST31R480 A01 (version 6.11.3)(ANSSI-CC-2025/26),,,,,not_found,,,,,,,
Cryptographic library NESLIB 6.11.3 on ST31R480 B01 (version 6.11.3) (ANSSI-CC-2025/27),,,,,not_found,,,,,,,
Cryptographic library NesLib 6.11.6 on ST33K1M5A and ST33K1M5M B04 Version : 6.11.6 / B04 (EUCC-3090-2026-17),,,,,not_found,,,,,,,
Cryptographic library NesLib 6.11.6 on ST33K1M5C and ST33K1M5T C03 Version : 6.11.6 / C03 (EUCC-3090-2026-16),,,,,not_found,,,,,,,
cryptography (pyca/cryptography),,,,,not_found,,,,,,,
Cryptomathic CKMS,,,,,not_found,,,,,,,
Cryptomathic CrystalKey 360,,,,,not_found,,,,,,,
CryptoNext COMPASS Network Probe,,,,,not_found,,,,,,,
CryptoNext COMPASS Probe,,,,,not_found,,,,,,,
CryptoNext Quantum-Safe Library,,,,,not_found,,,,,,,
CryptoNext Quantum-Safe Library (C-QSL),,,,,not_found,,,,,,,
CryptoScan,,,,,not_found,,,,,,,
Cryptosense Analyzer,,,,,not_found,,,,,,,
CryptPad PQC Collaboration,,,,,not_found,,,,,,,
Cryptsoft KMIP & PKCS#11 SDK,,,,,not_found,,,,,,,
CRYSTALS Reference Implementations,,,,,not_found,,,,,,,
CTERA Crypto Module (Java),,,,,not_found,,,,,,,
curl PQC,,,,,not_found,,,,,,,
CyberArk Conjur,cpe:2.3:a:cyberark:conjur_service_broker:-:*:*:*:*:pivotal_cloud_foundry:*:*,cyberark,conjur_service_broker,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=cyberark%20conjur,2026-08-07,,,,,
Cyberint (Check Point),,,,,not_found,,,,,,,
CyberZero Quantanaut,,,,,not_found,,,,,,,
CZERTAINLY,,,,,not_found,,,,,,,
Dashlane,cpe:2.3:a:dashlane:dashlane:-:*:*:*:*:windows:*:*,dashlane,dashlane,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=dashlane%20dashlane,2026-08-07,,,,,
Debian 12 (Bookworm),,,,,not_found,,,,,,,
Debian 13 (Trixie),,,,,not_found,,,,,,,
Delinea Secret Server,cpe:2.3:a:delinea:secret_server:10.9.000002:*:*:*:*:*:*:*,delinea,secret_server,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=delinea%20secret%20server,2026-08-07,,,,,
Dell BSAFE Crypto Module for C,cpe:2.3:a:dell:bsafe_crypto-module-for-c:3.0:*:*:*:*:*:*:*,dell,bsafe_crypto-module-for-c,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=dell%20bsafe%20crypto%20module%20for%20c,2026-08-07,,,,,
Dell BSAFE Crypto-J,cpe:2.3:a:dell:bsafe_crypto-j:-:*:*:*:*:*:*:*,dell,bsafe_crypto-j,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=dell%20bsafe%20crypto-j,2026-08-07,,,,,
Dell PowerStore OS 4.0,,,,,not_found,,,,,,,
Descope Customer & Agentic Identity Platform,,,,,not_found,,,,,,,
DFNS,,,,,not_found,,,,,,,
DigiCert CertCentral,,,,,not_found,,,,,,,
DigiCert Device Trust Manager,,,,,not_found,,,,,,,
DigiCert ONE,,,,,not_found,,,,,,,
DigiCert SigningHub,,,,,not_found,,,,,,,
DigiCert Software Trust Manager,,,,,not_found,,,,,,,
DigiCert Trust Lifecycle Manager,,,,,not_found,,,,,,,
DigiCert TrustCore SDK,,,,,not_found,,,,,,,
DINAMO Hardware Security Module Cryptographic Library,,,,,not_found,,,,,,,
Docker Engine 28.0,cpe:2.3:a:docker:engine:28.0.4:*:*:*:*:*:*:*,docker,engine,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=docker%20engine%2028.0,2026-08-07,,,,,
DocuSign Intelligent Agreement Management (eSignature + CLM),,,,,not_found,,,,,,,
Dogtag Certificate System,,,,,not_found,,,,,,,
Dragos Platform,cpe:2.3:a:dragos:dragos_platform:2.2.1:*:*:*:*:*:*:*,dragos,dragos_platform,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=dragos%20platform,2026-08-07,,,,,
Druva Data Resiliency Cloud,,,,,not_found,,,,,,,
DuckDuckGo Browser,,,,,not_found,,,,,,,
Dyber QuantaTPM,,,,,not_found,,,,,,,
E& Nokia Quantum-Safe Network,,,,,not_found,,,,,,,
Easy-RSA,,,,,not_found,,,,,,,
Eclipse Jetty,cpe:2.3:a:eclipse:jetty:9.3.0:m2:*:*:*:*:*:*,eclipse,jetty,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=eclipse%20jetty,2026-08-07,,,,,
Eclipse Mosquitto,cpe:2.3:a:eclipse:mosquitto:0.1:*:*:*:*:*:*:*,eclipse,mosquitto,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=eclipse%20mosquitto,2026-08-07,,,,,
EigenQ Quantum Encryption Module (QEM),,,,,not_found,,,,,,,
EJBCA,,,,,not_found,,,,,,,
Elastic Stack (ELK),,,,,not_found,,,,,,,
Element (Matrix Protocol),,,,,not_found,,,,,,,
Enquantum PQC Accelerator,,,,,not_found,,,,,,,
Entrust Cryptographic Platform,,,,,not_found,,,,,,,
Entrust Cryptographic Security Platform,,,,,not_found,,,,,,,
Entrust Identity as a Service (IDaaS),,,,,not_found,,,,,,,
Entrust KeyControl,,,,,not_found,,,,,,,
Entrust nShield,cpe:2.3:h:entrust:nshield_5c:-:*:*:*:*:*:*:*,entrust,nshield_5c,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=entrust%20nshield,2026-08-07,,,,,
Entrust PKI,,,,,not_found,,,,,,,
