software_name,cert_type,cert_id,cert_vendor,cert_product,pqc_algorithms,certification_level,status,cert_date,cert_link
Futurex Vectera Plus,ACVP,A7998,Futurex LP,GSP4000 Hardware Security Module,"ML-DSA, ML-KEM",,Active,2026-02-04,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20805
Gmail / Google Workspace,ACVP,A7700,"Google, Inc.",BoringCrypto,"ML-DSA, ML-KEM, SLH-DSA",,Active,2025-11-21,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20486
Gmail / Google Workspace,FIPS 140-3,4156,"Google, LLC.",BoringCrypto Android,ML-KEM,FIPS 140-3 L3,Active,2022-02-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4156
Gmail / Google Workspace,FIPS 140-3,4444,"Google, LLC.",BoringCrypto SoC,ML-KEM,FIPS 140-3 L3,Active,2023-02-27,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4444
Gmail / Google Workspace,FIPS 140-3,5104,"Google, LLC",BoringCrypto,ML-KEM,FIPS 140-3 L3,Active,2025-12-09,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5104
Go stdlib crypto/mlkem,ACVP,A7700,"Google, Inc.",BoringCrypto,"ML-DSA, ML-KEM, SLH-DSA",,Active,2025-11-21,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20486
Go stdlib crypto/mlkem,FIPS 140-3,4156,"Google, LLC.",BoringCrypto Android,ML-KEM,FIPS 140-3 L3,Active,2022-02-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4156
Go stdlib crypto/mlkem,FIPS 140-3,4444,"Google, LLC.",BoringCrypto SoC,ML-KEM,FIPS 140-3 L3,Active,2023-02-27,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4444
Go stdlib crypto/mlkem,FIPS 140-3,5104,"Google, LLC",BoringCrypto,ML-KEM,FIPS 140-3 L3,Active,2025-12-09,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5104
Google ALTS,ACVP,A7700,"Google, Inc.",BoringCrypto,"ML-DSA, ML-KEM, SLH-DSA",,Active,2025-11-21,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20486
