software_name,cert_type,cert_id,cert_vendor,cert_product,pqc_algorithms,certification_level,status,cert_date,cert_link
Intel TDX (Trust Domain Extensions),FIPS 140-3,4648,Intel Corporation,Cryptographic Module for Intel® Platforms' Security Engine Chipset,ML-KEM,FIPS 140-3 L3,Active,2023-10-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4648
Intel TDX (Trust Domain Extensions),FIPS 140-3,4749,Intel Corporation,Crypto Module for Intel® Alder Point PCH Converged Security and Manageability Engine (CSME),ML-KEM,FIPS 140-3 L3,Active,2024-08-02,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4749
Intel TDX (Trust Domain Extensions),FIPS 140-3,5032,Intel Corporation,Intel® QuickAssist Technology (QAT) Provider,ML-KEM,FIPS 140-3 L3,Active,2025-06-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5032
Juniper Junos OS,FIPS 140-3,4214,"Juniper Networks, Inc.",Juniper Kernel Crypto Cryptographic Module,ML-DSA,FIPS 140-3 L3,Active,2022-05-09,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4214
Juniper Junos OS,FIPS 140-3,4509,"Juniper Networks, Inc.",Juniper OpenSSL Cryptographic Module,ML-DSA,FIPS 140-3 L3,Active,2023-05-05,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4509
Juniper Junos OS,FIPS 140-3,4653,Juniper Networks Inc.,Juniper FIPS Provider,ML-DSA,FIPS 140-3 L3,Active,2023-11-08,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4653
Juniper Junos OS,FIPS 140-3,4776,"Juniper Networks, Inc.",Junos® OS Evolved Kernel Cryptographic Module,ML-DSA,FIPS 140-3 L3,Active,2024-09-03,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4776
Juniper Junos OS,FIPS 140-3,4775,"Juniper Networks, Inc.",Junos® OS Evolved OpenSSL Cryptographic Module,ML-DSA,FIPS 140-3 L3,Active,2024-09-03,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4775
Juniper Junos OS,FIPS 140-3,4820,"Juniper Networks, Inc.",Junos® OS Evolved MACsec Cryptographic Library,ML-DSA,FIPS 140-3 L3,Active,2024-10-02,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4820
Juniper Junos OS,FIPS 140-3,5155,"Juniper Networks, Inc.",Juniper FIPS Provider based on the OpenSSL FIPS Provider,ML-DSA,FIPS 140-3 L3,Active,2026-02-13,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5155
Juniper SRX Series Firewalls,FIPS 140-3,3908,"Juniper Networks, Inc.",Juniper Networks NFX250 Network Services Platform,ML-KEM,FIPS 140-3 L3,Active,2021-04-23,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/3908
Juniper SRX Series Firewalls,FIPS 140-3,3936,"Juniper Networks, Inc.",Juniper Networks MX104 3D Universal Edge Router with the Multiservices MIC,ML-KEM,FIPS 140-3 L3,Active,2021-05-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/3936
Juniper SRX Series Firewalls,FIPS 140-3,3935,"Juniper Networks, Inc.","Juniper Networks MX240, MX480, MX960 3D Universal Edge Routers with RE1800 Routing Engine and MPC7E-10G MACsec Card",ML-KEM,FIPS 140-3 L3,Active,2021-05-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/3935
Juniper SRX Series Firewalls,FIPS 140-3,3934,"Juniper Networks, Inc.","Juniper Networks MX240, MX480, MX960 3D Universal Edge Routers with RE1800 Routing Engine and Multiservices MPC",ML-KEM,FIPS 140-3 L3,Active,2021-05-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/3934
Juniper SRX Series Firewalls,FIPS 140-3,3938,"Juniper Networks, Inc.","Juniper Networks MX240, MX480, MX960 3D Universal Edge Routers and EX9204, EX9208, EX9214 Ethernet Switches with RE-S-X6-64G/RE-S-X6-128G/EX9200-RE2 Routing Engine and MPC7E-10G/EX9200-40XS MACsec Card",ML-KEM,FIPS 140-3 L3,Active,2021-05-27,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/3938
Juniper SRX Series Firewalls,FIPS 140-3,3968,"Juniper Networks, Inc.","Juniper Networks MX240, MX480, MX960 3D Universal Edge Routers with RE-S-X6-64G Routing Engine and Multiservices MPC",ML-KEM,FIPS 140-3 L3,Active,2021-07-06,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/3968
Juniper SRX Series Firewalls,FIPS 140-3,4119,"Juniper Networks, Inc",Juniper Networks ACX5448-M Router,ML-KEM,FIPS 140-3 L3,Active,2022-01-03,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4119
Juniper SRX Series Firewalls,FIPS 140-3,4214,"Juniper Networks, Inc.",Juniper Kernel Crypto Cryptographic Module,ML-KEM,FIPS 140-3 L3,Active,2022-05-09,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4214
Juniper SRX Series Firewalls,FIPS 140-3,4387,"Juniper Networks, Inc.","Juniper Networks MX2010 and MX2020 3D Universal Edge Routers with REMX2K-X8-64G and RE-MX2000-1800X4-S Routing Engines, MPC9E with MIC-MACSEC-MRATE",ML-KEM,FIPS 140-3 L3,Active,2022-12-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4387
Juniper SRX Series Firewalls,FIPS 140-3,4503,"Juniper Networks, Inc.","Juniper Networks MX240, MX480, MX960 3D Universal Edge Routers with RE-S-X6-128G/RE-1800 Routing Engine and MPC7E-10G MACSec Card",ML-KEM,FIPS 140-3 L3,Active,2023-05-03,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4503
Juniper SRX Series Firewalls,FIPS 140-3,4509,"Juniper Networks, Inc.",Juniper OpenSSL Cryptographic Module,ML-KEM,FIPS 140-3 L3,Active,2023-05-05,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4509
Juniper SRX Series Firewalls,FIPS 140-3,4625,"Juniper Networks, Inc","Juniper Networks SRX345, SRX345-DUAL-AC, SRX380 and SRX1500 Services Gateway",ML-KEM,FIPS 140-3 L3,Active,2023-10-04,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4625
Juniper SRX Series Firewalls,FIPS 140-3,4653,Juniper Networks Inc.,Juniper FIPS Provider,ML-KEM,FIPS 140-3 L3,Active,2023-11-08,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4653
Juniper SRX Series Firewalls,FIPS 140-3,4661,"Juniper Networks, Inc","Juniper Networks EX4650, QFX5120 and QFX5210 Ethernet Switches",ML-KEM,FIPS 140-3 L3,Active,2023-11-28,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4661
Juniper SRX Series Firewalls,FIPS 140-3,4878,"Juniper Networks, Inc.",Juniper Express 4 MACsec Cryptographic Module,ML-KEM,FIPS 140-3 L3,Active,2024-11-13,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4878
Juniper SRX Series Firewalls,FIPS 140-3,4882,"Juniper Networks, Inc.","Juniper Networks QFX10002, QFX10008 and QFX10016",ML-KEM,FIPS 140-3 L3,Active,2024-11-18,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4882
Juniper SRX Series Firewalls,FIPS 140-3,4961,"Juniper Networks, Inc.",Juniper Networks PTX10008 and PTX10016 Packet Transport Routers,ML-KEM,FIPS 140-3 L3,Active,2025-02-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4961
Juniper SRX Series Firewalls,FIPS 140-3,4960,"Juniper Networks, Inc.",Juniper Networks PTX1000 Packet Transport Router,ML-KEM,FIPS 140-3 L3,Active,2025-02-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4960
Juniper SRX Series Firewalls,FIPS 140-3,4959,"Juniper Networks, Inc.",Juniper Networks EX4300-48MP Ethernet Switch,ML-KEM,FIPS 140-3 L3,Active,2025-02-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4959
Juniper SRX Series Firewalls,FIPS 140-3,5119,"Juniper Networks, Inc.",Juniper Networks EX4100,ML-KEM,FIPS 140-3 L3,Active,2026-01-09,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5119
Juniper SRX Series Firewalls,FIPS 140-3,5118,"Juniper Networks, Inc.",Juniper Networks MX304 and EX4100 with MACsec,ML-KEM,FIPS 140-3 L3,Active,2026-01-09,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5118
Juniper SRX Series Firewalls,FIPS 140-3,5136,Juniper Networks,"Juniper Networks EX, QFX and ACX Series with MACsec",ML-KEM,FIPS 140-3 L3,Active,2026-01-15,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5136
Juniper SRX Series Firewalls,FIPS 140-3,5135,Juniper Networks,"Juniper Networks EX, QFX and ACX Series",ML-KEM,FIPS 140-3 L3,Active,2026-01-15,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5135
Juniper SRX Series Firewalls,FIPS 140-3,5134,"Juniper Networks, Inc.",Juniper Networks MX Series 3D Universal Edge Routers,ML-KEM,FIPS 140-3 L3,Active,2026-01-15,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5134
Juniper SRX Series Firewalls,FIPS 140-3,5141,"Juniper Networks, Inc",Juniper Networks SRX Series Services Gateways,ML-KEM,FIPS 140-3 L3,Active,2026-01-18,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5141
Juniper SRX Series Firewalls,FIPS 140-3,5150,"Juniper Networks, Inc.",Juniper Networks vSRX 3.0 Virtual Firewall,ML-KEM,FIPS 140-3 L3,Active,2026-01-28,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5150
Juniper SRX Series Firewalls,FIPS 140-3,5155,"Juniper Networks, Inc.",Juniper FIPS Provider based on the OpenSSL FIPS Provider,ML-KEM,FIPS 140-3 L3,Active,2026-02-13,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5155
Marvell LiquidSecurity 2,ACVP,A6877,"Marvell Semiconductor, Inc.",LS2-OQS-Crypto,"ML-DSA, ML-KEM",,Active,2025-05-01,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=19612
Marvell LiquidSecurity 2,Common Criteria,cc-marvell-ls2-hsm-hardware-version--cn9310410-03-c-firmware-version--marvell-ls2-fw-10-24-0780-bootloader-version--marvell-ls2-uboot-10-24-0702-r01-sb-or-marvell-ls2-uboot-10-24-0702-r02-sb-psm2,"Marvell Semiconductor, Inc (Scheme: NL)",Marvell LS2 HSM Hardware version: CN9310410-03 C Firmware version: MARVELL-LS2-FW-10.24-0780 Bootloader version: MARVELL-LS2-UBOOT-10.24-0702-R01-SB or MARVELL-LS2-UBOOT-10.24-0702-R02-SB,ML-KEM,"EAL4+,ALC_FLR.3,AVA_VAN.5",Active,2026-02-23,https://www.commoncriteriaportal.org/files/epfiles/NSCIB-CC-2400151-01-ST.pdf
Marvell LiquidSecurity 2,FIPS 140-3,4700,"Marvell Semiconductor, Inc.",NITROXIII CNN35XX-NFBE HSM Family,LMS; ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2024-05-30,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4700
Marvell LiquidSecurity 2,FIPS 140-3,4703,"Marvell Semiconductor, Inc.",Marvell LS2 HSM Family,LMS; ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2024-06-06,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4703
Microsoft AD CS,FIPS 140-3,4766,Microsoft Corporation,Kernel Mode Cryptographic Primitives Library,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2024-08-19,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4766
Microsoft AD CS,FIPS 140-3,4825,Microsoft Corporation,Cryptographic Primitives Library,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2024-10-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4825
Microsoft Entra ID,FIPS 140-3,4766,Microsoft Corporation,Kernel Mode Cryptographic Primitives Library,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2024-08-19,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4766
Microsoft Entra ID,FIPS 140-3,4825,Microsoft Corporation,Cryptographic Primitives Library,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2024-10-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4825
Microsoft Entra Verified ID,FIPS 140-3,4766,Microsoft Corporation,Kernel Mode Cryptographic Primitives Library,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2024-08-19,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4766
Microsoft Entra Verified ID,FIPS 140-3,4825,Microsoft Corporation,Cryptographic Primitives Library,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2024-10-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4825
Microsoft Outlook S/MIME,FIPS 140-3,4766,Microsoft Corporation,Kernel Mode Cryptographic Primitives Library,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2024-08-19,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4766
Microsoft Outlook S/MIME,FIPS 140-3,4825,Microsoft Corporation,Cryptographic Primitives Library,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2024-10-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4825
Microsoft SignTool,FIPS 140-3,4602,Microsoft Corporation,Code Integrity,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2023-09-20,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4602
Microsoft SignTool,FIPS 140-3,4640,Microsoft Corporation,Secure Kernel Code Integrity,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2023-10-23,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4640
Microsoft SignTool,FIPS 140-3,4766,Microsoft Corporation,Kernel Mode Cryptographic Primitives Library,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2024-08-19,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4766
Microsoft SignTool,FIPS 140-3,4825,Microsoft Corporation,Cryptographic Primitives Library,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2024-10-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4825
Microsoft SymCrypt,FIPS 140-3,4766,Microsoft Corporation,Kernel Mode Cryptographic Primitives Library,LMS; ML-DSA; ML-KEM; XMSS,FIPS 140-3 L3,Active,2024-08-19,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4766
Microsoft SymCrypt,FIPS 140-3,4825,Microsoft Corporation,Cryptographic Primitives Library,LMS; ML-DSA; ML-KEM; XMSS,FIPS 140-3 L3,Active,2024-10-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4825
NXP JCOP 4.5 P71D600,FIPS 140-3,4679,"NXP Semiconductors, Inc.",JCOP 4.5 on P71D600,ML-DSA,FIPS 140-3 L3,Active,2024-03-11,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4679
NXP SE050 Secure Element,FIPS 140-3,5139,"NXP Semiconductors, Inc.",SE052F,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2026-01-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5139
OQS-OpenSSL Provider (liboqs-provider),ACVP,A7481,The OpenSSL Corporation,OpenSSL FIPS Provider,"ML-DSA, ML-KEM, SLH-DSA",,Active,2025-10-06,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20272
OQS-OpenSSL Provider (liboqs-provider),FIPS 140-3,4985,The OpenSSL Project,OpenSSL FIPS Provider,BIKE; Classic McEliece; FN-DSA; HQC; ML-DSA; ML-KEM; SLH-DSA,FIPS 140-3 L3,Active,2025-03-11,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4985
OpenSSL,ACVP,A7481,The OpenSSL Corporation,OpenSSL FIPS Provider,"ML-DSA, ML-KEM, SLH-DSA",,Active,2025-10-06,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20272
OpenSSL,FIPS 140-3,4985,The OpenSSL Project,OpenSSL FIPS Provider,ML-DSA; ML-KEM; SLH-DSA,FIPS 140-3 L3,Active,2025-03-11,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4985
Oracle AI Database 26ai,ACVP,A7758,Oracle Corporation,Oracle OpenSSL FIPS Provider,"ML-DSA, ML-KEM, SLH-DSA",,Active,2025-12-11,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20549
Oracle AI Database 26ai,Common Criteria,cc-oracle-ai-database-26ai-8k73,Oracle Corporation (Scheme: SE),Oracle AI Database 26ai,LMS,"EAL2+,ALC_FLR.3",Active,2025-12-18,https://www.commoncriteriaportal.org/files/epfiles/Oracle AI Dtabase 26ai Security Target.pdf
Oracle AI Database 26ai,FIPS 140-3,4171,Oracle Corporation,Oracle Linux 7 NSS Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2022-03-04,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4171
Oracle AI Database 26ai,FIPS 140-3,4170,Oracle Corporation,Oracle Linux 7 OpenSSL Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2022-03-04,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4170
Oracle AI Database 26ai,FIPS 140-3,4169,Oracle Corporation,Oracle Linux 7 Unbreakable Enterprise Kernel (UEK 6) Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2022-03-04,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4169
Oracle AI Database 26ai,FIPS 140-3,4176,Oracle Corporation,Oracle Linux 7 OpenSSH Server Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2022-03-14,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4176
Oracle AI Database 26ai,FIPS 140-3,4206,Oracle Corporation,Oracle Linux 7 OpenSSH Client Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2022-04-29,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4206
Oracle AI Database 26ai,FIPS 140-3,4211,Oracle Corporation,Oracle Linux 8 Unbreakable Enterprise Kernel (UEK6) Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2022-05-04,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4211
Oracle AI Database 26ai,FIPS 140-3,4215,Oracle Corporation,Oracle Linux 8 OpenSSL Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2022-05-09,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4215
Oracle AI Database 26ai,FIPS 140-3,4226,Oracle Corporation,Oracle Linux 8 NSS Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2022-05-12,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4226
Oracle AI Database 26ai,FIPS 140-3,4229,Oracle Corporation,Oracle Linux 8 GnuTLS Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2022-05-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4229
Oracle AI Database 26ai,FIPS 140-3,4232,Oracle Corporation,Oracle Linux 8 libgcrypt Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2022-05-23,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4232
Oracle AI Database 26ai,FIPS 140-3,4266,Oracle Corporation,Oracle Linux 7 Libreswan Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2022-07-18,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4266
Oracle AI Database 26ai,FIPS 140-3,4739,Oracle Corporation,Oracle Linux 8 Unbreakable Enterprise Kernel (UEK7) Cryptographic Module and Oracle Linux 9 Unbreakable Enterprise Kernel (UEK7) Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2024-07-25,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4739
Oracle AI Database 26ai,FIPS 140-3,4779,Oracle Corporation,Oracle Linux 9 OpenSSL FIPS Provider,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2024-08-25,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4779
Oracle AI Database 26ai,FIPS 140-3,4801,Oracle Corporation,Oracle Linux 9 NSS Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2024-09-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4801
Oracle AI Database 26ai,FIPS 140-3,4993,Oracle Corporation,Oracle Linux 9 libgcrypt Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2025-03-28,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4993
Oracle AI Database 26ai,FIPS 140-3,5037,Oracle Corporation,Oracle Linux 9 GnuTLS Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2025-07-03,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5037
Oracle AI Database 26ai,FIPS 140-3,5036,Oracle Corporation,Oracle Linux 9 Kernel Crypto API Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2025-07-03,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5036
Oracle Key Vault,ACVP,A7758,Oracle Corporation,Oracle OpenSSL FIPS Provider,"ML-DSA, ML-KEM, SLH-DSA",,Active,2025-12-11,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20549
Oracle Key Vault,Common Criteria,cc-oracle-ai-database-26ai-8k73,Oracle Corporation (Scheme: SE),Oracle AI Database 26ai,LMS,"EAL2+,ALC_FLR.3",Active,2025-12-18,https://www.commoncriteriaportal.org/files/epfiles/Oracle AI Dtabase 26ai Security Target.pdf
Oracle Key Vault,FIPS 140-3,4171,Oracle Corporation,Oracle Linux 7 NSS Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2022-03-04,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4171
Oracle Key Vault,FIPS 140-3,4170,Oracle Corporation,Oracle Linux 7 OpenSSL Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2022-03-04,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4170
Oracle Key Vault,FIPS 140-3,4169,Oracle Corporation,Oracle Linux 7 Unbreakable Enterprise Kernel (UEK 6) Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2022-03-04,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4169
Oracle Key Vault,FIPS 140-3,4176,Oracle Corporation,Oracle Linux 7 OpenSSH Server Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2022-03-14,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4176
Oracle Key Vault,FIPS 140-3,4206,Oracle Corporation,Oracle Linux 7 OpenSSH Client Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2022-04-29,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4206
Oracle Key Vault,FIPS 140-3,4211,Oracle Corporation,Oracle Linux 8 Unbreakable Enterprise Kernel (UEK6) Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2022-05-04,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4211
Oracle Key Vault,FIPS 140-3,4215,Oracle Corporation,Oracle Linux 8 OpenSSL Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2022-05-09,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4215
Oracle Key Vault,FIPS 140-3,4226,Oracle Corporation,Oracle Linux 8 NSS Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2022-05-12,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4226
Oracle Key Vault,FIPS 140-3,4229,Oracle Corporation,Oracle Linux 8 GnuTLS Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2022-05-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4229
Oracle Key Vault,FIPS 140-3,4232,Oracle Corporation,Oracle Linux 8 libgcrypt Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2022-05-23,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4232
Oracle Key Vault,FIPS 140-3,4266,Oracle Corporation,Oracle Linux 7 Libreswan Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2022-07-18,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4266
Oracle Key Vault,FIPS 140-3,4739,Oracle Corporation,Oracle Linux 8 Unbreakable Enterprise Kernel (UEK7) Cryptographic Module and Oracle Linux 9 Unbreakable Enterprise Kernel (UEK7) Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2024-07-25,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4739
Oracle Key Vault,FIPS 140-3,4779,Oracle Corporation,Oracle Linux 9 OpenSSL FIPS Provider,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2024-08-25,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4779
Oracle Key Vault,FIPS 140-3,4801,Oracle Corporation,Oracle Linux 9 NSS Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2024-09-16,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4801
Oracle Key Vault,FIPS 140-3,4993,Oracle Corporation,Oracle Linux 9 libgcrypt Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2025-03-28,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4993
Oracle Key Vault,FIPS 140-3,5037,Oracle Corporation,Oracle Linux 9 GnuTLS Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2025-07-03,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5037
Oracle Key Vault,FIPS 140-3,5036,Oracle Corporation,Oracle Linux 9 Kernel Crypto API Cryptographic Module,ML-DSA; ML-KEM,FIPS 140-3 L3,Active,2025-07-03,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5036
Oracle TDE,ACVP,A7758,Oracle Corporation,Oracle OpenSSL FIPS Provider,"ML-DSA, ML-KEM, SLH-DSA",,Active,2025-12-11,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20549
Oracle TDE,Common Criteria,cc-oracle-ai-database-26ai-8k73,Oracle Corporation (Scheme: SE),Oracle AI Database 26ai,LMS,"EAL2+,ALC_FLR.3",Active,2025-12-18,https://www.commoncriteriaportal.org/files/epfiles/Oracle AI Dtabase 26ai Security Target.pdf
Oracle TDE,FIPS 140-3,4171,Oracle Corporation,Oracle Linux 7 NSS Cryptographic Module,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2022-03-04,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4171
Oracle TDE,FIPS 140-3,4170,Oracle Corporation,Oracle Linux 7 OpenSSL Cryptographic Module,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2022-03-04,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4170
Oracle TDE,FIPS 140-3,4169,Oracle Corporation,Oracle Linux 7 Unbreakable Enterprise Kernel (UEK 6) Cryptographic Module,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2022-03-04,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4169
