software_name,purl,purl_type,purl_namespace,purl_name,match_confidence,status,registry_url,last_verified_date
Google Cloud HSM,,,,,,not_found,,2026-04-01
Google Cloud KMS,,,,,,not_found,,2026-04-01
Google Cloud KMS (Cloud Gateway),,,,,,not_found,,2026-04-01
Google Cloud Platform (GCP),,,,,,not_found,,2026-04-01
Google GKE,,,,,,not_found,,2026-04-01
Google OpenTitan,pkg:github/lowRISC/opentitan,github,lowRISC,opentitan,exact,matched,https://github.com/lowRISC/opentitan,2026-04-01
Google Tink,pkg:github/tink-crypto/tink-java,github,tink-crypto,tink-java,exact,matched,https://github.com/tink-crypto/tink-java,2026-04-01
GPG Code Signing,pkg:github/gpg/gnupg,github,gpg,gnupg,exact,matched,https://github.com/gpg/gnupg,2026-04-01
GSMA PQ Telco Task Force,,,,,,not_found,,2026-04-01
HAProxy,pkg:github/haproxy/haproxy,github,haproxy,haproxy,exact,matched,https://github.com/haproxy/haproxy,2026-04-01
hash-sigs,pkg:github/cisco/hash-sigs,github,cisco,hash-sigs,exact,matched,https://github.com/cisco/hash-sigs,2026-04-01
HashiCorp Boundary,pkg:github/hashicorp/boundary,github,hashicorp,boundary,exact,matched,https://github.com/hashicorp/boundary,2026-04-01
HashiCorp Consul Connect (Service Mesh),pkg:github/hashicorp/consul,github,hashicorp,consul,exact,matched,https://github.com/hashicorp/consul,2026-04-01
HashiCorp Vault,pkg:github/hashicorp/vault,github,hashicorp,vault,exact,matched,https://github.com/hashicorp/vault,2026-04-01
HashiCorp Vault Transit,pkg:github/hashicorp/vault,github,hashicorp,vault,exact,matched,https://github.com/hashicorp/vault,2026-04-01
HiddenLayer Model Scanner,,,,,,not_found,,2026-04-01
HIPAA (Quantum Security Rule),,,,,,not_found,,2026-04-01
Hitachi DoMobile,,,,,,not_found,,2026-04-01
HP Enterprise Printers PQC,,,,,,not_found,,2026-04-01
HPE Alletra MP,,,,,,not_found,,2026-04-01
HPE ProLiant Gen12,,,,,,not_found,,2026-04-01
HQC Algorithm,pkg:github/PQClean/PQClean,github,PQClean,PQClean,exact,matched,https://github.com/PQClean/PQClean,2026-04-01
Huawei PQC Network Security,,,,,,not_found,,2026-04-01
Hyland OnBase,,,,,,not_found,,2026-04-01
Hyperledger Aries (ACA-Py),pkg:github/hyperledger/aries-cloudagent-python,github,hyperledger,aries-cloudagent-python,exact,matched,https://github.com/hyperledger/aries-cloudagent-python,2026-04-01
Hyperledger Besu,pkg:github/hyperledger/besu,github,hyperledger,besu,exact,matched,https://github.com/hyperledger/besu,2026-04-01
Hyperledger Fabric,pkg:github/hyperledger/fabric,github,hyperledger,fabric,exact,matched,https://github.com/hyperledger/fabric,2026-04-01
Hyperledger Fabric 3.0 PQC,,,,,,not_found,,2026-04-01
I4P Trident HSM,,,,,,not_found,,2026-04-01
IBM Aspera,,,,,,not_found,,2026-04-01
IBM Cloud HSM (Utimaco),,,,,,not_found,,2026-04-01
IBM Db2,,,,,,not_found,,2026-04-01
IBM Guardium Key Lifecycle Manager,,,,,,not_found,,2026-04-01
IBM Guardium Quantum Safe,,,,,,not_found,,2026-04-01
IBM Guardium Safe,,,,,,not_found,,2026-04-01
IBM LinuxONE PQC,,,,,,not_found,,2026-04-01
IBM MQ,,,,,,not_found,,2026-04-01
IBM Quantum Safe Toolkit,,,,,,not_found,,2026-04-01
IBM Security Guardium Data Protection,,,,,,not_found,,2026-04-01
IBM Storage Scale 5.2,,,,,,not_found,,2026-04-01
IBM z/OS Cryptographic Services (ICSF),,,,,,not_found,,2026-04-01
IBM z/VSE,,,,,,not_found,,2026-04-01
IBM z17 Quantum Safe,,,,,,not_found,,2026-04-01
ID Quantique Cerberis XGR QKD,,,,,,not_found,,2026-04-01
ID Quantique Quantis QRNG,,,,,,not_found,,2026-04-01
IDEMIA Digital Identity Platform,,,,,,not_found,,2026-04-01
IDEMIA PQC Accelerator,,,,,,not_found,,2026-04-01
IDEMIA PQC Secure Element,,,,,,not_found,,2026-04-01
Imperva WAF,,,,,,not_found,,2026-04-01
India National PQC Roadmap,,,,,,not_found,,2026-04-01
Indonesia BSSN PQC Migration,,,,,,not_found,,2026-04-01
Infineon AURIX TC49 PQC,,,,,,not_found,,2026-04-01
Infineon OPTIGA TPM SLB 9672,,,,,,not_found,,2026-04-01
Infineon PSOC Control C3 PQC,,,,,,not_found,,2026-04-01
Infineon TEGRION SLC27 PQC,,,,,,not_found,,2026-04-01
Infineon TEGRION SLI22 Automotive,,,,,,not_found,,2026-04-01
Intel Platform Trust Technology (PTT),,,,,,not_found,,2026-04-01
Intel TDX (Trust Domain Extensions),pkg:github/intel/tdx,github,intel,tdx,exact,matched,https://github.com/intel/tdx,2026-04-01
Internxt Drive PQC,,,,,,not_found,,2026-04-01
Inturai PQ Station ESP32,,,,,,not_found,,2026-04-01
iOS 26 / macOS 26,,,,,,not_found,,2026-04-01
IOTA,,,,,,not_found,,2026-04-01
IP Cores PQC1,,,,,,not_found,,2026-04-01
IronCore Labs SaaS Shield,,,,,,not_found,,2026-04-01
ISARA Advance,,,,,,not_found,,2026-04-01
ISARA Radiate,,,,,,not_found,,2026-04-01
ISC BIND 9.21,,,,,,not_found,,2026-04-01
Istio Service Mesh,pkg:github/istio/istio,github,istio,istio,exact,matched,https://github.com/istio/istio,2026-04-01
Ivanti Neurons for MDM,,,,,,not_found,,2026-04-01
Jamf Pro,,,,,,not_found,,2026-04-01
Java 24 PQC Runtime,,,,,,not_found,,2026-04-01
Java jarsigner (JDK),pkg:github/openjdk/jdk,github,openjdk,jdk,exact,matched,https://github.com/openjdk/jdk,2026-04-01
Jenkins,pkg:github/jenkinsci/jenkins,github,jenkinsci,jenkins,exact,matched,https://github.com/jenkinsci/jenkins,2026-04-01
JetBrains TeamCity 2026.1,,,,,,not_found,,2026-04-01
JFrog Artifactory,,,,,,not_found,,2026-04-01
jose4j,,,,,,not_found,,2026-04-01
jsonwebtoken (auth0),pkg:github/auth0/node-jsonwebtoken,github,auth0,node-jsonwebtoken,exact,matched,https://github.com/auth0/node-jsonwebtoken,2026-04-01
JumpCloud Directory Platform,,,,,,not_found,,2026-04-01
Juniper Junos OS,,,,,,not_found,,2026-04-01
Juniper SRX Series Firewalls,,,,,,not_found,,2026-04-01
Keeper Security,,,,,,not_found,,2026-04-01
Keycloak,pkg:github/keycloak/keycloak,github,keycloak,keycloak,exact,matched,https://github.com/keycloak/keycloak,2026-04-01
Keyfactor 2026 Trends,,,,,,not_found,,2026-04-01
Keyfactor AgileSec Analytics,,,,,,not_found,,2026-04-01
Keyfactor Command,,,,,,not_found,,2026-04-01
Keyfactor EJBCA,pkg:github/Keyfactor/ejbca-ce,github,Keyfactor,ejbca-ce,exact,matched,https://github.com/Keyfactor/ejbca-ce,2026-04-01
Keysight CyPerf,,,,,,not_found,,2026-04-01
Keysight Inspector,,,,,,not_found,,2026-04-01
Kiteworks PQC File Sharing,,,,,,not_found,,2026-04-01
KiviCore PQC IP Cores,,,,,,not_found,,2026-04-01
Kong API Gateway,pkg:github/Kong/kong,github,Kong,kong,exact,matched,https://github.com/Kong/kong,2026-04-01
KpqC Korean PQC Standards,,,,,,not_found,,2026-04-01
Kryptonite Shipovnik PQC Signature (Russia),,,,,,not_found,,2026-04-01
Kryptus kNET HSM PQC,,,,,,not_found,,2026-04-01
Kubernetes,pkg:github/kubernetes/kubernetes,github,kubernetes,kubernetes,exact,matched,https://github.com/kubernetes/kubernetes,2026-04-01
Kudelski IoT Security Platform,,,,,,not_found,,2026-04-01
Lakera Guard,,,,,,not_found,,2026-04-01
Landis+Gyr SEALSQ Smart Grid PKI,,,,,,not_found,,2026-04-01
Lattice MachXO5-NX,,,,,,not_found,,2026-04-01
leancrypto,pkg:github/wolfeidau/leancrypto,github,wolfeidau,leancrypto,exact,matched,https://github.com/wolfeidau/leancrypto,2026-04-01
Ledger Enterprise,,,,,,not_found,,2026-04-01
Let's Encrypt,pkg:github/letsencrypt/boulder,github,letsencrypt,boulder,exact,matched,https://github.com/letsencrypt/boulder,2026-04-01
liboqs,pkg:github/open-quantum-safe/liboqs,github,open-quantum-safe,liboqs,exact,matched,https://github.com/open-quantum-safe/liboqs,2026-04-01
liboqs-rust (oqs crate),pkg:cargo/oqs,cargo,,oqs,exact,matched,https://crates.io/crates/oqs,2026-04-01
LibreSSL,pkg:github/libressl/portable,github,libressl,portable,manual,matched,https://github.com/libressl/portable,2026-04-01
Libreswan,pkg:github/libreswan/libreswan,github,libreswan,libreswan,exact,matched,https://github.com/libreswan/libreswan,2026-04-01
libssh,,,,,,not_found,,2026-04-01
Linkerd,pkg:github/linkerd/linkerd2,github,linkerd,linkerd2,exact,matched,https://github.com/linkerd/linkerd2,2026-04-01
Linux IMA/EVM,,,,,,not_found,,2026-04-01
Linux LUKS / dm-crypt,,,,,,not_found,,2026-04-01
LTO-10 PQC-Ready Tape,,,,,,not_found,,2026-04-01
MadQuantum-CM (Spain),,,,,,not_found,,2026-04-01
Malaysia NACSA PQC Roadmap,,,,,,not_found,,2026-04-01
Mandiant (Google Cloud),,,,,,not_found,,2026-04-01
MariaDB Server,pkg:github/MariaDB/server,github,MariaDB,server,exact,matched,https://github.com/MariaDB/server,2026-04-01
Marvell LiquidSecurity 2,,,,,,not_found,,2026-04-01
Mastercard Quantum-Resistant Contactless,,,,,,not_found,,2026-04-01
Mavenir Cloud RAN,,,,,,not_found,,2026-04-01
Mbed TLS,pkg:github/Mbed-TLS/mbedtls,github,Mbed-TLS,mbedtls,exact,matched,https://github.com/Mbed-TLS/mbedtls,2026-04-01
Microchip ATECC608B,pkg:github/MicrochipTech/cryptoauthlib,github,MicrochipTech,cryptoauthlib,exact,matched,https://github.com/MicrochipTech/cryptoauthlib,2026-04-01
Microchip CryptoAutomotive TA100,,,,,,not_found,,2026-04-01
Microchip MEC175xB PQC Controllers,,,,,,not_found,,2026-04-01
Microchip PolarFire,,,,,,not_found,,2026-04-01
Microsoft AD CS,,,,,,not_found,,2026-04-01
Microsoft Azure,,,,,,not_found,,2026-04-01
Microsoft Defender for Endpoint,,,,,,not_found,,2026-04-01
Microsoft Edge,,,,,,not_found,,2026-04-01
Microsoft Entra External ID,,,,,,not_found,,2026-04-01
Microsoft Entra ID,,,,,,not_found,,2026-04-01
Microsoft Entra Verified ID,,,,,,not_found,,2026-04-01
Microsoft Hyper-V,,,,,,not_found,,2026-04-01
Microsoft Intune,,,,,,not_found,,2026-04-01
Microsoft RDS,,,,,,not_found,,2026-04-01
Microsoft Remote Desktop Services (RDS),,,,,,not_found,,2026-04-01
Microsoft SignTool,,,,,,not_found,,2026-04-01
Microsoft SymCrypt,pkg:github/microsoft/SymCrypt,github,microsoft,SymCrypt,exact,matched,https://github.com/microsoft/SymCrypt,2026-04-01
MikroTik RouterOS,,,,,,not_found,,2026-04-01
Mimecast Cloud Integrated,,,,,,not_found,,2026-04-01
MinIO Enterprise,,,,,,not_found,,2026-04-01
mlkem-native,pkg:github/pq-code-package/mlkem-native,github,pq-code-package,mlkem-native,exact,matched,https://github.com/pq-code-package/mlkem-native,2026-04-01
MongoDB Queryable Encryption,pkg:github/mongodb/libmongocrypt,github,mongodb,libmongocrypt,exact,matched,https://github.com/mongodb/libmongocrypt,2026-04-01
Mozilla Firefox,,,,,,not_found,,2026-04-01
MTG AG CARA,,,,,,not_found,,2026-04-01
MTG AG CLM,,,,,,not_found,,2026-04-01
MTG AG KMS,,,,,,not_found,,2026-04-01
Mullvad VPN App,,,,,,not_found,,2026-04-01
MySQL Community Server,pkg:github/mysql/mysql-server,github,mysql,mysql-server,exact,matched,https://github.com/mysql/mysql-server,2026-04-01
